Name,Fixed or Live,Image time,Drug,Drug [ ],cells,openings
160420 MDCK_0-25h_01_MMStack_Pos0,F,25,none,none,2,0
160420 MDCK_0-25h_02_MMStack_Pos0,F,25,none,none,2,1
160420 MDCK_0-25h_03_MMStack_Pos0,F,25,none,none,4,2
160420 MDCK_0-25h_04_MMStack_Pos0,F,25,none,none,2,1
,F,25,none,none,2,0
160420 MDCK_0-25h_05_MMStack_Pos0,F,25,none,none,4,1
160420 MDCK_0-25h_06_MMStack_Pos0,F,25,none,none,,
160420 MDCK_0-25h_07_MMStack_Pos0,F,25,none,none,3,0
,F,25,none,none,2,0
,F,25,none,none,4,1
160420 MDCK_0-25h_08_MMStack_Pos0,F,25,none,none,,
160420 MDCK_0-25h_09_MMStack_Pos0,F,25,none,none,4,2
160420 MDCK_0-25h_10_MMStack_Pos0,F,25,none,none,2,0
,F,25,none,none,2,0
160420 MDCK_0-36h_01,F,36,none,none,5,2
,F,36,none,none,4,1
,F,36,none,none,3,1
160420 MDCK_0-36h_02,F,36,none,none,,
160420 MDCK_0-36h_03,F,36,none,none,4,2
160420 MDCK_0-36h_04,F,36,none,none,3,1
160420 MDCK_0-36h_05,F,36,none,none,4,1
,F,36,none,none,3,1
160420 MDCK_0-36h_06,F,36,none,none,4,1
,F,36,none,none,5,2
160420 MDCK_0-36h_07,F,36,none,none,,
160420 MDCK_0-36h_08,F,36,none,none,4,1
160420 MDCK_0-36h_09,F,36,none,none,8,3
,F,36,none,none,12,2
160420 MDCK_0-36h_10,F,36,none,none,4,1
160420 MDCK_0-36h_11,F,36,none,none,4,1
,F,36,none,none,3,0
,F,36,none,none,4,1
160420 MDCK_0-36h_12,F,36,none,none,3,0
,F,36,none,none,8,2
,F,36,none,none,4,1
,F,36,none,none,3,0
160420 MDCK_0-36h_13,F,36,none,none,4,1
160420 MDCK_0-48h_01,F,48,none,none,10,1
,F,48,none,none,3,1
,F,48,none,none,6,1
160420 MDCK_0-48h_02,F,48,none,none,8,2
,F,48,none,none,5,1
,F,48,none,none,6,1
160420 MDCK_0-48h_03,F,48,none,none,12,4
160420 MDCK_0-48h_04,F,48,none,none,4,1
160420 MDCK_0-48h_05,F,48,none,none,7,1
160420 MDCK_0-48h_06,F,48,none,none,2,1
160420 MDCK_0-48h_07,F,48,none,none,7,2
160420 MDCK_0-48h_08,F,48,none,none,4,1
160420 MDCK_0-48h_09,F,48,none,none,5,2
160420 MDCK_0-48h_10,F,48,none,none,18,1
,F,48,none,none,9,2
,F,48,none,none,4,1
,F,48,none,none,4,3
160420 MDCK_0-48h_11,F,48,none,none,8,2
160420 MDCK_0-48h_12,F,48,none,none,6,1
160420 MDCK_0-48h_13,F,48,none,none,,
160420 MDCK_0-48h_14,F,48,none,none,7,1
,F,48,none,none,5,0
,F,48,none,none,9,3
160420 MDCK_0-48h_15,F,48,none,none,8,3
,F,48,none,none,,
,F,48,none,none,,
160420 MDCK_0-48h_16,F,48,none,none,6,2
160420 MDCK_0-48h_17,F,48,none,none,5,2
,F,48,none,none,3,1
160420 MDCK_0-48h_18,F,48,none,none,3,1
160420 MDCK_0-48h_19,F,48,none,none,8,2
,F,48,none,none,8,2
,F,48,none,none,8,2
,F,48,none,none,5,2
160420 MDCK_0-48h_20,F,48,none,none,8,1
,F,48,none,none,5,1
,F,48,none,none,3,1
,F,48,none,none,16,2
,F,48,none,none,3,0
160420 MDCK_0-48h_21,F,48,none,none,4,1
,F,48,none,none,4,1
,F,48,none,none,13,3
160420 MDCK_0-48h_22,F,48,none,none,4,1
,F,48,none,none,7,1
,F,48,none,none,12,4
160420 MDCK_0-48h_23,F,48,none,none,2,1
,F,48,none,none,8,2
,F,48,none,none,8,1
,F,48,none,none,2,0
160420 MDCK_0-48h_24,F,48,none,none,3,1
,F,48,none,none,6,2
,F,48,none,none,10,1
,F,48,none,none,8,1
,F,48,none,none,7,1
160420 MDCK_0-48h_25,F,48,none,none,7,2
160420 MDCK_0-48h_26,F,48,none,none,,
160420 MDCK_0-48h_27,F,48,none,none,6,1
,F,48,none,none,6,1
,F,48,none,none,5,1
,F,48,none,none,5,1
,F,48,none,none,6,1
160420 MDCK_0-48h_28,F,48,none,none,2,1
,F,48,none,none,4,1
,F,48,none,none,4,1
160420 MDCK_0-48h_29,F,48,none,none,5,1
160420 MDCK_0-48h_30,F,48,none,none,4,1
,,,none,none,,
MDCK_0-36h 160510_01,F,36,none,none,8,1
MDCK_0-36h 160510_02 ,F,36,none,none,4,1
,F,36,none,none,2,0
MDCK_0-36h 160510_03,F,36,none,none,4,2
MDCK_0-36h 160510_04,F,36,none,none,4,1
,F,36,none,none,6,1
,F,36,none,none,2,1
MDCK_0-36h 160510_05,F,36,none,none,,
MDCK_0-36h 160510_06,F,36,none,none,4,1
MDCK_0-36h 160510_07,F,36,none,none,4,1
MDCK_0-36h 160510_08,F,36,none,none,,
MDCK_0-36h 160510_09,F,36,none,none,,
MDCK_0-36h 160510_10,F,36,none,none,,
MDCK_0-36h 160510_11,F,36,none,none,,
MDCK_0-46h 160728_01,F,46,none,none,8,1
MDCK_0-46h 160728_02,F,46,none,none,3,1
MDCK_0-46h 160728_03,F,46,none,none,4,1
MDCK_0-46h 160728_04,F,46,none,none,,
MDCK_0-46h 160728_05,F,46,none,none,4,1
MDCK_0-46h 160728_06,F,46,none,none,5,1
MDCK_0-48h 160826_ctl_01,F,48,ctl,ctl,4,1
MDCK_0-48h 160826_ctl_02,F,48,ctl,ctl,,
MDCK_0-48h 160826_ctl_03,F,48,ctl,ctl,,
MDCK_0-48h 160826_ctl_04,F,48,ctl,ctl,,
MDCK_0-48h 160826_ctl_05,F,48,DMSO,10uM,7,2
MDCK_0-48h 160826_ctlDMSO_01,F,48,DMSO,10uM,8,2
MDCK_0-48h 160826_ctlDMSO_02,F,48,DMSO,10uM,15,2
MDCK_0-48h 160826_ctlDMSO_03,F,48,CD,10uM,,
MDCK_0-48h 160826_cytoD_01,F,48,CD,10uM,,
MDCK_0-48h 160826_cytoD_02,F,48,CD,10uM,8,1
MDCK_0-48h 160826_cytoD_03,F,48,CD,10uM,8,1
MDCK_0-48h 160826_cytoD_04,F,48,CD,10uM,,
MDCK_0-48h 160826_cytoD_05,F,48,CD,10uM,,
MDCK_0-48h 160826_cytoD_06,F,48,CD,10uM,,
MDCK_0-48h 160826_cytoD_07,F,48,CD,10uM,7,1
MDCK_0-48h 160826_cytoD_08,F,48,CD,10uM,3,1
MDCK_0-48h 160826_cytoD_09,F,48,CD,10uM,5,1
MDCK_0-48h 160826_cytoD_10,F,48,CD,10uM,9,2
MDCK_0-48h 160826_Y2_01,F,48,Y2,20uM,4,0
MDCK_0-48h 160826_Y2_02,F,48,Y2,20uM,,
MDCK_0-48h 160826_Y2_03,F,48,Y2,20uM,,
MDCK_0-48h 160826_Y2_04,F,48,Y2,20uM,8,1
MDCK_0-48h 160826_Y2_05,F,48,Y2,20uM,4,2
MDCK_0-48h 160826_ctl_01,F,48,ctl,ctl,,
MDCK_0-48h 160826_ctl_02,F,48,ctl,ctl,6,1
MDCK_0-48h 160826_ctl_03,F,48,ctl,ctl,14,1
MDCK_0-48h 160826_ctlDMSO_01,F,48,DMSO,10uM,7,1
MDCK_0-48h 160826_ctlDMSO_02,F,48,DMSO,10uM,8,1
MDCK_0-48h 160826_ctlDMSO_03,F,48,DMSO,10uM,,
MDCK_0-48h 160826_cytoD_01,F,48,CD,10uM,8,1
MDCK_0-48h 160826_cytoD_02,F,48,CD,10uM,,
MDCK_0-48h 160826_cytoD_03,F,48,CD,10uM,3,1
MDCK_0-48h 160826_cytoD_04,F,48,CD,10uM,5,1
MDCK_0-48h 160826_cytoD_05,F,48,CD,10uM,4,1
MDCK_0-48h 160826_cytoD_06,F,48,CD,10uM,7,1
MDCK_0-48h 160826_cytoD_07,F,48,CD,10uM,,
MDCK_0-48h 160826_cytoD_08,F,48,CD,10uM,9,2
MDCK_0-48h 160826_cytoD_09,F,48,CD,10uM,,
MDCK_0-48h 160826_Y2_01,F,48,Y2,20uM,,
MDCK_0-48h 160826_Y2_02,F,48,Y2,20uM,,
MDCK_0-48h 160826_Y2_03,F,48,Y2,20uM,,
MDCK_0-48h 160826_Y2_04,F,48,Y2,20uM,,
MDCK_0-48h 160826_Y2_05,F,48,Y2,20uM,4,1
MDCK_0-40h 160914_ctl_01,F,40,ctl,N/A,4,1
MDCK_0-40h 160914_ctl_02,F,40,ctl,N/A,6,1
MDCK_0-40h 160914_ctl_03,F,40,ctl,N/A,7,1
MDCK_0-40h 160914_ctl_04,F,40,ctl,N/A,3,1
,F,40,ctl,N/A,5,1
,F,40,ctl,N/A,6,2
MDCK_0-40h 160914_ctl_05,F,40,ctl,N/A,3,1
,F,40,ctl,N/A,4,1
MDCK_0-40h 160914_ctl_06,F,40,ctl,N/A,4,1
,F,40,ctl,N/A,4,0
,F,40,ctl,N/A,6,1
,F,40,ctl,N/A,5,2
,F,40,ctl,N/A,3,2
